Invoice No,Date,Channel,Product Name,SKU,Type,Size (ml),Quantity,Unit Price (৳),Total (৳),Payment Status,Notes
INV-0376,2026-06-27,November,Blue de Chanel,BluCha,roll-on,3.5,1,170.00,170.00,paid,
INV-0354,2026-06-27,October,Ameer Al oud,AmeOud,roll-on,6,1,230.00,230.00,paid,
INV-0368,2026-06-27,October,SRK Spray,SR_SP,spray,6,1,370.00,370.00,paid,
INV-0366,2026-06-27,October,Fantasy,Fant,roll-on,3.5,1,110.00,110.00,paid,
INV-0352,2026-06-27,October,Dunhill Icon,DunIco,roll-on,3.5,1,170.00,170.00,paid,
INV-0349,2026-06-27,October,Diptyque tam dao,DipTam,roll-on,3.5,1,160.00,160.00,paid,
INV-0379,2026-06-27,November,Miss Dior,MisDio,roll-on,3.5,1,75.00,75.00,paid,
INV-0375,2026-06-27,November,Dior Sauvage Spray,DioSau_SP,spray,30,1,250.00,250.00,paid,
INV-0367,2026-06-27,October,Ultra male,UltMal,roll-on,3.5,1,110.00,110.00,paid,
INV-0351,2026-06-27,October,CK-1,CK1,roll-on,3.5,1,120.00,120.00,paid,
INV-0331,2026-06-27,September,Davidoff Cool Water,DavCoo,roll-on,3.5,1,120.00,120.00,paid,
INV-0327,2026-06-27,September,Ultra male,UltMal,roll-on,3.5,1,120.00,120.00,paid,
INV-0339,2026-06-27,October,Dior Sauvage,DioSau,roll-on,6,1,150.00,150.00,paid,
INV-0333,2026-06-27,September,Versace EROS,VerEros,roll-on,3.5,1,55.00,55.00,paid,
INV-0323,2026-06-27,September,victoriya secret,VicSec,roll-on,3.5,1,150.00,150.00,paid,
INV-0341,2026-06-27,October,Red Tobaco,RedTob,roll-on,3.5,1,100.00,100.00,paid,
INV-0329,2026-06-27,September,Dior Sauvage Spray,DioSau_SP,spray,6,1,250.00,250.00,paid,
INV-0345,2026-06-27,October,Vampire B.,VampB,roll-on,6,1,250.00,250.00,paid,
INV-0325,2026-06-27,September,Paris Hilton,ParHil,roll-on,3.5,1,130.00,130.00,paid,
INV-0337,2026-06-27,October,Creed Aventus,CreAve,roll-on,3.5,1,120.00,120.00,paid,
INV-0334,2026-06-27,September,Good Girl,GooGir,roll-on,3.5,1,65.00,65.00,paid,
INV-0321,2026-06-27,September,Fantasy,Fant,roll-on,3.5,1,120.00,120.00,paid,
INV-0342,2026-06-27,October,Dunhil desire,DunDes,roll-on,3.5,1,100.00,100.00,paid,
INV-0332,2026-06-27,September,victoriya secret Spray,VicSec_SP,spray,6,1,320.00,320.00,paid,
INV-0346,2026-06-27,October,Vampire B.,VampB,roll-on,3.5,1,150.00,150.00,paid,
INV-0330,2026-06-27,September,Blue de Chanel,BluCha,roll-on,3.5,1,150.00,150.00,paid,
INV-0340,2026-06-27,October,Diptyque tam dao,DipTam,roll-on,6,1,150.00,150.00,paid,
INV-0328,2026-06-27,September,Dior Sauvage,DioSau,roll-on,3.5,1,140.00,140.00,paid,
INV-0348,2026-06-27,October,Davidoff Cool Water,DavCoo,roll-on,3.5,1,120.00,120.00,paid,
INV-0326,2026-06-27,September,Luxe Special Spray,LUXE1_SP,spray,6,1,350.00,350.00,paid,
INV-0338,2026-06-27,October,Dunhil desire,DunDes,roll-on,6,1,100.00,100.00,paid,
INV-0324,2026-06-27,September,Aqua DI Gio,AquGio,roll-on,3.5,1,150.00,150.00,paid,
INV-0344,2026-06-27,October,Blue de Chanel,BluCha,roll-on,3.5,1,100.00,100.00,paid,
INV-0322,2026-06-27,September,victoriya secret,VicSec,roll-on,3.5,1,150.00,150.00,paid,
INV-0336,2026-06-27,October,Armanis.w.y,ArmWy,roll-on,3.5,1,120.00,120.00,paid,
INV-0508,2026-06-27,December,Nautica voyage Spray,NV_SP,spray,6,1,270.00,270.00,paid,
INV-0320,2026-06-27,September,Vampire B.,VampB,roll-on,3.5,1,170.00,170.00,paid,
INV-0347,2026-06-27,October,Dior Sauvage,DioSau,roll-on,3.5,1,140.00,140.00,paid,
INV-0343,2026-06-27,October,Aqua DI Gio,AquGio,roll-on,3.5,1,100.00,100.00,paid,
INV-0335,2026-06-27,October,LOST Cherry Spray,LostChe_SP,spray,6,1,250.00,250.00,paid,
INV-0319,2026-06-27,September,Blue berry,BluBer,roll-on,3.5,1,120.00,120.00,paid,
